Question,Answer
"so do i, but not if they're rich.",what does that have to do with it?
what does that have to do with it?,rich people think they're better than us.
rich people think they're better than us.,how many rich people do you know?
how many rich people do you know?,none.
bears are invading our neighborhoods.,of course they are. they're starving to death.
of course they are. they're starving to death.,they should stay in the woods where they belong.
they should stay in the woods where they belong.,there's no food in the woods.
there's no food in the woods.,can't they eat grass?
can't they eat grass?,do you think a bear is a cow?
do you think a bear is a cow?,"well, i've seen them eating berries."
"well, i've seen them eating berries.",berries aren't in season all year round.
berries aren't in season all year round.,it's too dangerous for kids and pets.
it's too dangerous for kids and pets.,people need to cover their trash cans.
people need to cover their trash cans.,the police need to shoot all the bears.
the police need to shoot all the bears.,you don't solve a problem by shooting it.
who did you vote for?,i voted for obama.
i voted for obama.,me too.
me too.,he will be a great president.
he will be a great president.,everyone likes him.
everyone likes him.,he's a good speaker.
he's a good speaker.,and he's really smart.
and he's really smart.,he will solve our problems.
he will solve our problems.,he will end the war.
he will end the war.,the next four years will be good years.
the next four years will be good years.,"i'll vote for him next time, too."
"i'll vote for him next time, too.",i think everyone will.
the election is next week.,who are you voting for?
who are you voting for?,i'm not voting for the mayor.
i'm not voting for the mayor.,why not?
why not?,he made promises that he didn't keep.
he made promises that he didn't keep.,like what?
like what?,"he promised to hire 1,000 more police officers."
"he promised to hire 1,000 more police officers.",how many did he hire?
how many did he hire?,one hundred!
one hundred!,maybe he had a good reason.
maybe he had a good reason.,maybe he's just a liar.
maybe he's just a liar.,"maybe i'll vote for someone else, too."
i can't believe he won the election.,only 15 percent of the voters turned out.
only 15 percent of the voters turned out.,that is a joke.
that is a joke.,"voting is so important, but people don't bother."
"voting is so important, but people don't bother.",many people think their vote doesn't matter.
many people think their vote doesn't matter.,"the mayor won by only 2,000 votes."
"the mayor won by only 2,000 votes.",we're stuck with him for four more years.
we're stuck with him for four more years.,voting is so easy. you can even mail your ballot in.
voting is so easy. you can even mail your ballot in.,all you have to do is vote and put a stamp on it.
all you have to do is vote and put a stamp on it.,how easy is that?
how easy is that?,i guess people just don't care.
i guess people just don't care.,they'll care when they see their taxes go up.
"well, we have a new president.",but we have the same old problems.
but we have the same old problems.,"well, he's made a few changes."
"well, he's made a few changes.",like what?
like what?,i think he closed the bowling alley in the white house.
i think he closed the bowling alley in the white house.,"oh, yeah. he's changing it to a basketball court."
"oh, yeah. he's changing it to a basketball court.",who's paying for that?
who's paying for that?,i think we are!
i think we are!,"well, that's okay, as long as it helps him relax and think more clearly."
"well, that's okay, as long as it helps him relax and think more clearly.","yes, we need a relaxed president who thinks clearly."
"yes, we need a relaxed president who thinks clearly.",do any other world leaders have a basketball court?
do any other world leaders have a basketball court?,they will. you know america always leads the way.
people say that everybody loves obama.,"well, more than 50 million people voted for mccain."
"well, more than 50 million people voted for mccain.",that's 50 million people who don't love obama.
that's 50 million people who don't love obama.,obama's got four years to make everyone happy.
obama's got four years to make everyone happy.,he's never going to make everyone happy.
he's never going to make everyone happy.,can you imagine being president?
can you imagine being president?,everyone wants you to solve their problems.
everyone wants you to solve their problems.,i have enough stress from trying to solve my own problems.
i have enough stress from trying to solve my own problems.,you and everybody else.
you and everybody else.,i would never want to be president.
i would never want to be president.,but think about all the power you'd have.
but think about all the power you'd have.,i prefer my quiet little life to all the power in the world.
did you read this article?,what article?
what article?,it says the mayor spends only 11 percent of his time on city duties.
it says the mayor spends only 11 percent of his time on city duties.,only 11 percent?
only 11 percent?,about 50 percent of the time he's traveling.
about 50 percent of the time he's traveling.,where does he travel to?
where does he travel to?,"oh, all over the world."
"oh, all over the world.",but he's supposed to be making our city a better place.
